ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
3229,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Pseudopercis,semifasciata,Pseudopercis_semifasciata,Pseudopercis semifasciata,I,NA,NA,NA,P,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3230,Actinopterygii (ray-finned fishes),Perciformes,Opistognathidae,Opistognathus,cuvierii,Opistognathus_cuvierii,Opistognathus cuvierii,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I
3231,Actinopterygii (ray-finned fishes),Perciformes,Serranidae,Acanthistius,patachonicus,Acanthistius_patachonicus,Acanthistius patachonicus,I,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3232,Actinopterygii (ray-finned fishes),Perciformes,Pinguipedidae,Parapercis,dockinsi,Parapercis_dockinsi,Parapercis dockinsi,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3233,Actinopterygii (ray-finned fishes),Perciformes,Scaridae,Scarus,hoefleri,Scarus_hoefleri,Scarus hoefleri,H,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
3234,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,angolensis,Scorpaena_angolensis,Scorpaena angolensis,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,elongata,Scorpaena_elongata,Scorpaena elongata,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3236,Actinopterygii (ray-finned fishes),Beryciformes,Holocentridae,Sargocentron,shimizui,Sargocentron_shimizui,Sargocentron shimizui,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3237,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,normani,Scorpaena_normani,Scorpaena normani,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3238,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,laevis,Scorpaena_laevis,Scorpaena laevis,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
